PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Title
74,0,3,male,26,1,0,14.4542,C,2,0,Mr
75,1,3,male,32,0,0,56.4958,S,1,1,Mr
76,0,3,male,25,0,0,7.65,S,1,1,Mr
77,0,3,male,15,0,0,7.8958,S,1,1,Mr
78,0,3,male,40,0,0,8.05,S,1,1,Mr
79,1,2,male,0,0,2,29.0,S,3,0,Master
80,1,3,female,30,0,0,12.475,S,1,1,Miss
81,0,3,male,22,0,0,9.0,S,1,1,Mr
82,1,3,male,29,0,0,9.5,S,1,1,Mr
83,1,3,female,22,0,0,7.7875,Q,1,1,Miss
84,0,1,male,28,0,0,47.1,S,1,1,Mr
85,1,2,female,17,0,0,10.5,S,1,1,Miss
86,1,3,female,33,3,0,15.85,S,4,0,Mrs
87,0,3,male,16,1,3,34.375,S,5,0,Mr
88,0,3,male,34,0,0,8.05,S,1,1,Mr
89,1,1,female,23,3,2,263.0,S,6,0,Miss
90,0,3,male,24,0,0,8.05,S,1,1,Mr
91,0,3,male,29,0,0,8.05,S,1,1,Mr
92,0,3,male,20,0,0,7.8542,S,1,1,Mr
93,0,1,male,46,1,0,61.175,S,2,0,Mr
94,0,3,male,26,1,2,20.575,S,4,0,Mr
95,0,3,male,59,0,0,7.25,S,1,1,Mr
96,0,3,male,18,0,0,8.05,S,1,1,Mr
97,0,1,male,71,0,0,34.6542,C,1,1,Mr
98,1,1,male,23,0,1,63.3583,C,2,0,Mr
99,1,2,female,34,0,1,23.0,S,2,0,Mrs
100,0,2,male,34,1,0,26.0,S,2,0,Mr
101,0,3,female,28,0,0,7.8958,S,1,1,Miss
102,0,3,male,19,0,0,7.8958,S,1,1,Mr
103,0,1,male,21,0,1,77.2875,S,2,0,Mr
104,0,3,male,33,0,0,8.6542,S,1,1,Mr
105,0,3,male,37,2,0,7.925,S,3,0,Mr
106,0,3,male,28,0,0,7.8958,S,1,1,Mr
107,1,3,female,21,0,0,7.65,S,1,1,Miss
108,1,3,male,19,0,0,7.775,S,1,1,Mr
109,0,3,male,38,0,0,7.8958,S,1,1,Mr
110,1,3,female,32,1,0,24.15,Q,2,0,Miss
111,0,1,male,47,0,0,52.0,S,1,1,Mr
112,0,3,female,14,1,0,14.4542,C,2,0,Miss
113,0,3,male,22,0,0,8.05,S,1,1,Mr
114,0,3,female,20,1,0,9.825,S,2,0,Miss
115,0,3,female,17,0,0,14.4583,C,1,1,Miss
116,0,3,male,21,0,0,7.925,S,1,1,Mr
117,0,3,male,70,0,0,7.75,Q,1,1,Mr
118,0,2,male,29,1,0,21.0,S,2,0,Mr
119,0,1,male,24,0,1,247.5208,C,2,0,Mr
120,0,3,female,2,4,2,31.275,S,7,0,Miss
121,0,2,male,21,2,0,73.5,S,3,0,Mr
122,0,3,male,43,0,0,8.05,S,1,1,Mr
123,0,2,male,32,1,0,30.0708,C,2,0,Mr
124,1,2,female,32,0,0,13.0,S,1,1,Miss
125,0,1,male,54,0,1,77.2875,S,2,0,Mr
126,1,3,male,12,1,0,11.2417,C,2,0,Master
127,0,3,male,25,0,0,7.75,Q,1,1,Mr
128,1,3,male,24,0,0,7.1417,S,1,1,Mr
129,1,3,female,18,1,1,22.3583,C,3,0,Miss
130,0,3,male,45,0,0,6.975,S,1,1,Mr
131,0,3,male,33,0,0,7.8958,C,1,1,Mr
132,0,3,male,20,0,0,7.05,S,1,1,Mr
133,0,3,female,47,1,0,14.5,S,2,0,Mrs
134,1,2,female,29,1,0,26.0,S,2,0,Mrs
135,0,2,male,25,0,0,13.0,S,1,1,Mr
136,0,2,male,23,0,0,15.0458,C,1,1,Mr
137,1,1,female,19,0,2,26.2833,S,3,0,Miss
138,0,1,male,37,1,0,53.1,S,2,0,Mr
139,0,3,male,16,0,0,9.2167,S,1,1,Mr
140,0,1,male,24,0,0,79.2,C,1,1,Mr
141,0,3,female,24,0,2,15.2458,C,3,0,Mrs
142,1,3,female,22,0,0,7.75,S,1,1,Miss
143,1,3,female,24,1,0,15.85,S,2,0,Mrs
144,0,3,male,19,0,0,6.75,Q,1,1,Mr
145,0,2,male,18,0,0,11.5,S,1,1,Mr
146,0,2,male,19,1,1,36.75,S,3,0,Mr
147,1,3,male,27,0,0,7.7958,S,1,1,Mr
148,0,3,female,9,2,2,34.375,S,5,0,Miss
149,0,2,male,36,0,2,26.0,S,3,0,Mr
150,0,2,male,42,0,0,13.0,S,1,1,Rare
151,0,2,male,51,0,0,12.525,S,1,1,Rare
152,1,1,female,22,1,0,66.6,S,2,0,Mrs
153,0,3,male,55,0,0,8.05,S,1,1,Mr
154,0,3,male,40,0,2,14.5,S,3,0,Mr
155,0,3,male,40,0,0,7.3125,S,1,1,Mr
156,0,1,male,51,0,1,61.3792,C,2,0,Mr
157,1,3,female,16,0,0,7.7333,Q,1,1,Miss
158,0,3,male,30,0,0,8.05,S,1,1,Mr
159,0,3,male,31,0,0,8.6625,S,1,1,Mr
160,0,3,male,19,8,2,69.55,S,11,0,Master
161,0,3,male,44,0,1,16.1,S,2,0,Mr
162,1,2,female,40,0,0,15.75,S,1,1,Mrs
163,0,3,male,26,0,0,7.775,S,1,1,Mr
164,0,3,male,17,0,0,8.6625,S,1,1,Mr
165,0,3,male,1,4,1,39.6875,S,6,0,Master
166,1,3,male,9,0,2,20.525,S,3,0,Master
167,1,1,female,17,0,1,55.0,S,2,0,Mrs
168,0,3,female,45,1,4,27.9,S,6,0,Mrs
169,0,1,male,29,0,0,25.925,S,1,1,Mr
170,0,3,male,28,0,0,56.4958,S,1,1,Mr
171,0,1,male,61,0,0,33.5,S,1,1,Mr
172,0,3,male,4,4,1,29.125,Q,6,0,Master
173,1,3,female,1,1,1,11.1333,S,3,0,Miss
174,0,3,male,21,0,0,7.925,S,1,1,Mr
175,0,1,male,56,0,0,30.6958,C,1,1,Mr
176,0,3,male,18,1,1,7.8542,S,3,0,Mr
177,0,3,male,34,3,1,25.4667,S,5,0,Master
178,0,1,female,50,0,0,28.7125,C,1,1,Miss
179,0,2,male,30,0,0,13.0,S,1,1,Mr
180,0,3,male,36,0,0,0.0,S,1,1,Mr
181,0,3,female,30,8,2,69.55,S,11,0,Miss
182,0,2,male,42,0,0,15.05,C,1,1,Mr
183,0,3,male,9,4,2,31.3875,S,7,0,Master
184,1,2,male,1,2,1,39.0,S,4,0,Master
185,1,3,female,4,0,2,22.025,S,3,0,Miss
186,0,1,male,36,0,0,50.0,S,1,1,Mr
187,1,3,female,26,1,0,15.5,Q,2,0,Mrs
188,1,1,male,45,0,0,26.55,S,1,1,Mr
189,0,3,male,40,1,1,15.5,Q,3,0,Mr
190,0,3,male,36,0,0,7.8958,S,1,1,Mr
191,1,2,female,32,0,0,13.0,S,1,1,Mrs
192,0,2,male,19,0,0,13.0,S,1,1,Mr
193,1,3,female,19,1,0,7.8542,S,2,0,Miss
194,1,2,male,3,1,1,26.0,S,3,0,Master
195,1,1,female,44,0,0,27.7208,C,1,1,Mrs
196,1,1,female,58,0,0,146.5208,C,1,1,Miss
197,0,3,male,20,0,0,7.75,Q,1,1,Mr
198,0,3,male,42,0,1,8.4042,S,2,0,Mr
199,1,3,female,31,0,0,7.75,Q,1,1,Miss
200,0,2,female,24,0,0,13.0,S,1,1,Miss
201,0,3,male,28,0,0,9.5,S,1,1,Mr
202,0,3,male,29,8,2,69.55,S,11,0,Mr
203,0,3,male,34,0,0,6.4958,S,1,1,Mr
204,0,3,male,45,0,0,7.225,C,1,1,Mr
205,1,3,male,18,0,0,8.05,S,1,1,Mr
206,0,3,female,2,0,1,10.4625,S,2,0,Miss
207,0,3,male,32,1,0,15.85,S,2,0,Mr
208,1,3,male,26,0,0,18.7875,C,1,1,Mr
209,1,3,female,16,0,0,7.75,Q,1,1,Miss
210,1,1,male,40,0,0,31.0,C,1,1,Mr
211,0,3,male,24,0,0,7.05,S,1,1,Mr
212,1,2,female,35,0,0,21.0,S,1,1,Miss
213,0,3,male,22,0,0,7.25,S,1,1,Mr
214,0,2,male,30,0,0,13.0,S,1,1,Mr
215,0,3,male,23,1,0,7.75,Q,2,0,Mr
216,1,1,female,31,1,0,113.275,C,2,0,Miss
217,1,3,female,27,0,0,7.925,S,1,1,Miss
218,0,2,male,42,1,0,27.0,S,2,0,Mr
219,1,1,female,32,0,0,76.2917,C,1,1,Miss
220,0,2,male,30,0,0,10.5,S,1,1,Mr
221,1,3,male,16,0,0,8.05,S,1,1,Mr
222,0,2,male,27,0,0,13.0,S,1,1,Mr
223,0,3,male,51,0,0,8.05,S,1,1,Mr
224,0,3,male,39,0,0,7.8958,S,1,1,Mr
225,1,1,male,38,1,0,90.0,S,2,0,Mr
226,0,3,male,22,0,0,9.35,S,1,1,Mr
227,1,2,male,19,0,0,10.5,S,1,1,Mr
228,0,3,male,20,0,0,7.25,S,1,1,Mr
229,0,2,male,18,0,0,13.0,S,1,1,Mr
230,0,3,female,28,3,1,25.4667,S,5,0,Miss
231,1,1,female,35,1,0,83.475,S,2,0,Mrs
232,0,3,male,29,0,0,7.775,S,1,1,Mr
233,0,2,male,59,0,0,13.5,S,1,1,Mr
234,1,3,female,5,4,2,31.3875,S,7,0,Miss
235,0,2,male,24,0,0,10.5,S,1,1,Mr
236,0,3,female,30,0,0,7.55,S,1,1,Miss
237,0,2,male,44,1,0,26.0,S,2,0,Mr
238,1,2,female,8,0,2,26.25,S,3,0,Miss
239,0,2,male,19,0,0,10.5,S,1,1,Mr
240,0,2,male,33,0,0,12.275,S,1,1,Mr
241,0,3,female,39,1,0,14.4542,C,2,0,Miss
242,1,3,female,15,1,0,15.5,Q,2,0,Miss
243,0,2,male,29,0,0,10.5,S,1,1,Mr
244,0,3,male,22,0,0,7.125,S,1,1,Mr
245,0,3,male,30,0,0,7.225,C,1,1,Mr
246,0,1,male,44,2,0,90.0,Q,3,0,Rare
247,0,3,female,25,0,0,7.775,S,1,1,Miss
248,1,2,female,24,0,2,14.5,S,3,0,Mrs
249,1,1,male,37,1,1,52.5542,S,3,0,Mr
250,0,2,male,54,1,0,26.0,S,2,0,Rare
251,0,3,male,32,0,0,7.25,S,1,1,Mr
252,0,3,female,29,1,1,10.4625,S,3,0,Mrs
253,0,1,male,62,0,0,26.55,S,1,1,Mr
254,0,3,male,30,1,0,16.1,S,2,0,Mr
255,0,3,female,41,0,2,20.2125,S,3,0,Mrs
256,1,3,female,29,0,2,15.2458,C,3,0,Mrs
257,1,1,female,31,0,0,79.2,C,1,1,Mrs
258,1,1,female,30,0,0,86.5,S,1,1,Miss
259,1,1,female,35,0,0,512.3292,C,1,1,Miss
260,1,2,female,50,0,1,26.0,S,2,0,Mrs
261,0,3,male,17,0,0,7.75,Q,1,1,Mr
262,1,3,male,3,4,2,31.3875,S,7,0,Master
263,0,1,male,52,1,1,79.65,S,3,0,Mr
264,0,1,male,40,0,0,0.0,S,1,1,Mr
265,0,3,female,26,0,0,7.75,Q,1,1,Miss
266,0,2,male,36,0,0,10.5,S,1,1,Mr
267,0,3,male,16,4,1,39.6875,S,6,0,Mr
268,1,3,male,25,1,0,7.775,S,2,0,Mr
269,1,1,female,58,0,1,153.4625,S,2,0,Mrs
270,1,1,female,35,0,0,135.6333,S,1,1,Miss
271,0,1,male,40,0,0,31.0,S,1,1,Mr
272,1,3,male,25,0,0,0.0,S,1,1,Mr
273,1,2,female,41,0,1,19.5,S,2,0,Mrs
274,0,1,male,37,0,1,29.7,C,2,0,Mr
275,1,3,female,27,0,0,7.75,Q,1,1,Miss
276,1,1,female,63,1,0,77.9583,S,2,0,Miss
277,0,3,female,45,0,0,7.75,S,1,1,Miss
278,0,2,male,22,0,0,0.0,S,1,1,Mr
279,0,3,male,7,4,1,29.125,Q,6,0,Master
280,1,3,female,35,1,1,20.25,S,3,0,Mrs
281,0,3,male,65,0,0,7.75,Q,1,1,Mr
282,0,3,male,28,0,0,7.8542,S,1,1,Mr
283,0,3,male,16,0,0,9.5,S,1,1,Mr
284,1,3,male,19,0,0,8.05,S,1,1,Mr
285,0,1,male,15,0,0,26.0,S,1,1,Mr
286,0,3,male,33,0,0,8.6625,C,1,1,Mr
287,1,3,male,30,0,0,9.5,S,1,1,Mr
288,0,3,male,22,0,0,7.8958,S,1,1,Mr
289,1,2,male,42,0,0,13.0,S,1,1,Mr
290,1,3,female,22,0,0,7.75,Q,1,1,Miss
291,1,1,female,26,0,0,78.85,S,1,1,Miss
292,1,1,female,19,1,0,91.0792,C,2,0,Mrs
293,0,2,male,36,0,0,12.875,C,1,1,Mr
294,0,3,female,24,0,0,8.85,S,1,1,Miss
295,0,3,male,24,0,0,7.8958,S,1,1,Mr
296,0,1,male,41,0,0,27.7208,C,1,1,Mr
297,0,3,male,23,0,0,7.2292,C,1,1,Mr
298,0,1,female,2,1,2,151.55,S,4,0,Miss
299,1,1,male,43,0,0,30.5,S,1,1,Mr
300,1,1,female,50,0,1,247.5208,C,2,0,Mrs
301,1,3,female,32,0,0,7.75,Q,1,1,Miss
302,1,3,male,22,2,0,23.25,Q,3,0,Mr
303,0,3,male,19,0,0,0.0,S,1,1,Mr
304,1,2,female,33,0,0,12.35,Q,1,1,Miss
305,0,3,male,41,0,0,8.05,S,1,1,Mr
306,1,1,male,0,1,2,151.55,S,4,0,Master
307,1,1,female,24,0,0,110.8833,C,1,1,Miss
308,1,1,female,17,1,0,108.9,C,2,0,Mrs
309,0,2,male,30,1,0,24.0,C,2,0,Mr
310,1,1,female,30,0,0,56.9292,C,1,1,Miss
311,1,1,female,24,0,0,83.1583,C,1,1,Miss
312,1,1,female,18,2,2,262.375,C,5,0,Miss
313,0,2,female,26,1,1,26.0,S,3,0,Mrs
314,0,3,male,28,0,0,7.8958,S,1,1,Mr
315,0,2,male,43,1,1,26.25,S,3,0,Mr
316,1,3,female,26,0,0,7.8542,S,1,1,Miss
317,1,2,female,24,1,0,26.0,S,2,0,Mrs
318,0,2,male,54,0,0,14.0,S,1,1,Rare
319,1,1,female,31,0,2,164.8667,S,3,0,Miss
320,1,1,female,40,1,1,134.5,C,3,0,Mrs
321,0,3,male,22,0,0,7.25,S,1,1,Mr
322,0,3,male,27,0,0,7.8958,S,1,1,Mr
323,1,2,female,30,0,0,12.35,Q,1,1,Miss
324,1,2,female,22,1,1,29.0,S,3,0,Mrs
325,0,3,male,20,8,2,69.55,S,11,0,Mr
326,1,1,female,36,0,0,135.6333,C,1,1,Miss
327,0,3,male,61,0,0,6.2375,S,1,1,Mr
328,1,2,female,36,0,0,13.0,S,1,1,Mrs
329,1,3,female,31,1,1,20.525,S,3,0,Mrs
330,1,1,female,16,0,1,57.9792,C,2,0,Miss
331,1,3,female,23,2,0,23.25,Q,3,0,Miss
332,0,1,male,45,0,0,28.5,S,1,1,Mr
333,0,1,male,38,0,1,153.4625,S,2,0,Mr
334,0,3,male,16,2,0,18.0,S,3,0,Mr
335,1,1,female,39,1,0,133.65,S,2,0,Mrs
336,0,3,male,35,0,0,7.8958,S,1,1,Mr
337,0,1,male,29,1,0,66.6,S,2,0,Mr
338,1,1,female,41,0,0,134.5,C,1,1,Miss
339,1,3,male,45,0,0,8.05,S,1,1,Mr
340,0,1,male,45,0,0,35.5,S,1,1,Mr
341,1,2,male,2,1,1,26.0,S,3,0,Master
342,1,1,female,24,3,2,263.0,S,6,0,Miss
343,0,2,male,28,0,0,13.0,S,1,1,Mr
344,0,2,male,25,0,0,13.0,S,1,1,Mr
345,0,2,male,36,0,0,13.0,S,1,1,Mr
346,1,2,female,24,0,0,13.0,S,1,1,Miss
347,1,2,female,40,0,0,13.0,S,1,1,Miss
348,1,3,female,41,1,0,16.1,S,2,0,Mrs
349,1,3,male,3,1,1,15.9,S,3,0,Master
350,0,3,male,42,0,0,8.6625,S,1,1,Mr
351,0,3,male,23,0,0,9.225,S,1,1,Mr
352,0,1,male,32,0,0,35.0,S,1,1,Mr
353,0,3,male,15,1,1,7.2292,C,3,0,Mr
354,0,3,male,25,1,0,17.8,S,2,0,Mr
355,0,3,male,31,0,0,7.225,C,1,1,Mr
356,0,3,male,28,0,0,9.5,S,1,1,Mr
357,1,1,female,22,0,1,55.0,S,2,0,Miss
358,0,2,female,38,0,0,13.0,S,1,1,Miss
359,1,3,female,21,0,0,7.8792,Q,1,1,Miss
360,1,3,female,19,0,0,7.8792,Q,1,1,Miss
361,0,3,male,40,1,4,27.9,S,6,0,Mr
362,0,2,male,29,1,0,27.7208,C,2,0,Mr
363,0,3,female,45,0,1,14.4542,C,2,0,Mrs
364,0,3,male,35,0,0,7.05,S,1,1,Mr
365,0,3,male,39,1,0,15.5,Q,2,0,Mr
366,0,3,male,30,0,0,7.25,S,1,1,Mr
367,1,1,female,60,1,0,75.25,C,2,0,Mrs
368,1,3,female,38,0,0,7.2292,C,1,1,Mrs
369,1,3,female,29,0,0,7.75,Q,1,1,Miss
370,1,1,female,24,0,0,69.3,C,1,1,Mrs
371,1,1,male,25,1,0,55.4417,C,2,0,Mr
372,0,3,male,18,1,0,6.4958,S,2,0,Mr
373,0,3,male,19,0,0,8.05,S,1,1,Mr
374,0,1,male,22,0,0,135.6333,C,1,1,Mr
375,0,3,female,3,3,1,21.075,S,5,0,Miss
376,1,1,female,17,1,0,82.1708,C,2,0,Mrs
377,1,3,female,22,0,0,7.25,S,1,1,Miss
378,0,1,male,27,0,2,211.5,C,3,0,Mr
379,0,3,male,20,0,0,4.0125,C,1,1,Mr
380,0,3,male,19,0,0,7.775,S,1,1,Mr
381,1,1,female,42,0,0,227.525,C,1,1,Miss
382,1,3,female,1,0,2,15.7417,C,3,0,Miss
383,0,3,male,32,0,0,7.925,S,1,1,Mr
384,1,1,female,35,1,0,52.0,S,2,0,Mrs
385,0,3,male,30,0,0,7.8958,S,1,1,Mr
386,0,2,male,18,0,0,73.5,S,1,1,Mr
387,0,3,male,1,5,2,46.9,S,8,0,Master
388,1,2,female,36,0,0,13.0,S,1,1,Miss
389,0,3,male,17,0,0,7.7292,Q,1,1,Mr
390,1,2,female,17,0,0,12.0,C,1,1,Miss
391,1,1,male,36,1,2,120.0,S,4,0,Mr
392,1,3,male,21,0,0,7.7958,S,1,1,Mr
393,0,3,male,28,2,0,7.925,S,3,0,Mr
394,1,1,female,23,1,0,113.275,C,2,0,Miss
395,1,3,female,24,0,2,16.7,S,3,0,Mrs
396,0,3,male,22,0,0,7.7958,S,1,1,Mr
397,0,3,female,31,0,0,7.8542,S,1,1,Miss
398,0,2,male,46,0,0,26.0,S,1,1,Mr
399,0,2,male,23,0,0,10.5,S,1,1,Rare
400,1,2,female,28,0,0,12.65,S,1,1,Mrs
401,1,3,male,39,0,0,7.925,S,1,1,Mr
402,0,3,male,26,0,0,8.05,S,1,1,Mr
403,0,3,female,21,1,0,9.825,S,2,0,Miss
404,0,3,male,28,1,0,15.85,S,2,0,Mr
405,0,3,female,20,0,0,8.6625,S,1,1,Miss
406,0,2,male,34,1,0,21.0,S,2,0,Mr
407,0,3,male,51,0,0,7.75,S,1,1,Mr
408,1,2,male,3,1,1,18.75,S,3,0,Master
409,0,3,male,21,0,0,7.775,S,1,1,Mr
410,0,3,female,23,3,1,25.4667,S,5,0,Miss
411,0,3,male,16,0,0,7.8958,S,1,1,Mr
412,0,3,male,21,0,0,6.8583,Q,1,1,Mr
413,1,1,female,33,1,0,90.0,Q,2,0,Miss
414,0,2,male,36,0,0,0.0,S,1,1,Mr
415,1,3,male,44,0,0,7.925,S,1,1,Mr
416,0,3,female,23,0,0,8.05,S,1,1,Mrs
417,1,2,female,34,1,1,32.5,S,3,0,Mrs
418,1,2,female,18,0,2,13.0,S,3,0,Miss
419,0,2,male,30,0,0,13.0,S,1,1,Mr
420,0,3,female,10,0,2,24.15,S,3,0,Miss
421,0,3,male,15,0,0,7.8958,C,1,1,Mr
422,0,3,male,21,0,0,7.7333,Q,1,1,Mr
423,0,3,male,29,0,0,7.875,S,1,1,Mr
424,0,3,female,28,1,1,14.4,S,3,0,Mrs
425,0,3,male,18,1,1,20.2125,S,3,0,Mr
426,0,3,male,28,0,0,7.25,S,1,1,Mr
427,1,2,female,28,1,0,26.0,S,2,0,Mrs
428,1,2,female,19,0,0,26.0,S,1,1,Miss
429,0,3,male,42,0,0,7.75,Q,1,1,Mr
430,1,3,male,32,0,0,8.05,S,1,1,Mr
431,1,1,male,28,0,0,26.55,S,1,1,Mr
432,1,3,female,22,1,0,16.1,S,2,0,Mrs
433,1,2,female,42,1,0,26.0,S,2,0,Mrs
434,0,3,male,17,0,0,7.125,S,1,1,Mr
435,0,1,male,50,1,0,55.9,S,2,0,Mr
436,1,1,female,14,1,2,120.0,S,4,0,Miss
437,0,3,female,21,2,2,34.375,S,5,0,Miss
438,1,2,female,24,2,3,18.75,S,6,0,Mrs
439,0,1,male,64,1,4,263.0,S,6,0,Mr
440,0,2,male,31,0,0,10.5,S,1,1,Mr
441,1,2,female,45,1,1,26.25,S,3,0,Mrs
442,0,3,male,20,0,0,9.5,S,1,1,Mr
443,0,3,male,25,1,0,7.775,S,2,0,Mr
444,1,2,female,28,0,0,13.0,S,1,1,Miss
445,1,3,male,22,0,0,8.1125,S,1,1,Mr
446,1,1,male,4,0,2,81.8583,S,3,0,Master
447,1,2,female,13,0,1,19.5,S,2,0,Miss
448,1,1,male,34,0,0,26.55,S,1,1,Mr
449,1,3,female,5,2,1,19.2583,C,4,0,Miss
450,1,1,male,52,0,0,30.5,S,1,1,Rare
451,0,2,male,36,1,2,27.75,S,4,0,Mr
452,0,3,male,16,1,0,19.9667,S,2,0,Mr
453,0,1,male,30,0,0,27.75,C,1,1,Mr
454,1,1,male,49,1,0,89.1042,C,2,0,Mr
455,0,3,male,36,0,0,8.05,S,1,1,Mr
456,1,3,male,29,0,0,7.8958,C,1,1,Mr
457,0,1,male,65,0,0,26.55,S,1,1,Mr
458,1,1,female,17,1,0,51.8625,S,2,0,Mrs
459,1,2,female,50,0,0,10.5,S,1,1,Miss
460,0,3,male,37,0,0,7.75,Q,1,1,Mr
461,1,1,male,48,0,0,26.55,S,1,1,Mr
462,0,3,male,34,0,0,8.05,S,1,1,Mr
463,0,1,male,47,0,0,38.5,S,1,1,Mr
464,0,2,male,48,0,0,13.0,S,1,1,Mr
465,0,3,male,37,0,0,8.05,S,1,1,Mr
466,0,3,male,38,0,0,7.05,S,1,1,Mr
467,0,2,male,39,0,0,0.0,S,1,1,Mr
468,0,1,male,56,0,0,26.55,S,1,1,Mr
469,0,3,male,17,0,0,7.725,Q,1,1,Mr
470,1,3,female,0,2,1,19.2583,C,4,0,Miss
471,0,3,male,27,0,0,7.25,S,1,1,Mr
472,0,3,male,38,0,0,8.6625,S,1,1,Mr
473,1,2,female,33,1,2,27.75,S,4,0,Mrs
474,1,2,female,23,0,0,13.7917,C,1,1,Mrs
475,0,3,female,22,0,0,9.8375,S,1,1,Miss
476,0,1,male,40,0,0,52.0,S,1,1,Mr
477,0,2,male,34,1,0,21.0,S,2,0,Mr
478,0,3,male,29,1,0,7.0458,S,2,0,Mr
479,0,3,male,22,0,0,7.5208,S,1,1,Mr
480,1,3,female,2,0,1,12.2875,S,2,0,Miss
481,0,3,male,9,5,2,46.9,S,8,0,Master
482,0,2,male,35,0,0,0.0,S,1,1,Mr
483,0,3,male,50,0,0,8.05,S,1,1,Mr
484,1,3,female,63,0,0,9.5875,S,1,1,Mrs
485,1,1,male,25,1,0,91.0792,C,2,0,Mr
486,0,3,female,30,3,1,25.4667,S,5,0,Miss
487,1,1,female,35,1,0,90.0,S,2,0,Mrs
